# Spectral Energy Distribution files available in the Gemini ITC
# lc = luminosity class
# tc = temperature class
# 2025-Aug-19, astephens, initial version

lc   tc   filename

DA   0.8  DA08_calspec.nm      
DA   0.9  DA09_calspec.nm      
DA   1.2  DA12_calspec.nm      
DA   1.5  DA15_calspec.nm      
DA   1.8  DA18_calspec.nm      
DA   2.4  DA24_calspec.nm      
DA   2.8  DA28_calspec.nm      
DA   3.0  DA30_calspec.nm      
DA   3.1  DA31_calspec.nm      
DA   3.3  DA33_calspec.nm      
DA   3.6  DA36_calspec.nm      
DA   3.8  DA38_calspec.nm      
DA   4.8  DA48_calspec.nm      
DA   5.7  DA57_calspec.nm      
DB   4.0  DBQ40_calspec.nm     
DBQA 5.0  DBQA50_calspec.nm    
DO   2.0  DO20_calspec.nm      

I    A0   A0I.nm               
I    B0   B0I.nm               
I    B5   B5I.nm               
#I    F0   F0I.nm               
I    F0   F0I_pickles_irtf.nm  
I    F5   F5I_pickles_irtf.nm  
#I    F5   F5I.nm               
I    F8   F8I_pickles_irtf.nm  
I    G0   G0I_pickles_irtf.nm  
#I    G0   G0I.nm               
I    G2   G2I_pickles_irtf.nm  
#I    G5   G5I.nm               
I    G5   G5I_pickles_irtf.nm  
I    G8   G8I_pickles_irtf.nm  
I    K2   K2I_pickles_irtf.nm  
#I    K4   K4I.nm               
I    K4   K4I_pickles_irtf.nm  
I    M2   M2I_pickles_irtf.nm  

II   F0   F0II_pickles_irtf.nm 
II   F2   F2II_pickles_irtf.nm 
II   K0.5 K0-1II.nm            
II   K3   K3II_pickles_irtf.nm 

III  A0   A0III_calspec.nm     
#III  A0   A0III.nm             
III  A5   A5III.nm             
III  A8   A8III_calspec.nm     
III  B5   B5III.nm             
III  B9   B9III_calspec.nm     
III  F0   F0III_pickles_irtf.nm
#III  F0   F0III.nm             
III  F2   F2III_pickles_irtf.nm
#III  F5   F5III.nm             
III  F5   F5III_pickles_irtf.nm
III  G0   G0III.nm             
#III  G5   G5III-w.nm           
#III  G5   G5III-r.nm           
III  G5   G5III_pickles_irtf.nm
#III  G5   G5III.nm             
III  G7   G7III_calspec.nm     
III  G8   G8III_pickles_irtf.nm
#III  K0   K0III-r.nm           
#III  K0   K0III.nm             
III  K0   K0III_pickles_irtf.nm
#III  K0   K0III-w.nm           
III  K0.5 K0.5III_calspec.nm   
III  K1.5 K1.5III_calspec.nm   
III  K2   K2III_pickles_irtf.nm
III  K3   K3III_pickles_irtf.nm
#III  K4   K4III.nm             
III  K4   K4III_pickles_irtf.nm
#III  K4   K4III-w.nm           
#III  K4   K4III-r.nm           
III  K5   K5III_pickles_irtf.nm
III  M0   M0III_pickles_irtf.nm
#III  M0   M0III.nm             
III  M1   M1III_pickles_irtf.nm
III  M2   M2III_pickles_irtf.nm
III  M3   M3III_pickles_irtf.nm
#III  M3   M3III.nm             
III  M4   M4III_pickles_irtf.nm
III  M6   M6III_pickles_irtf.nm
#III  M6   M6III.nm             
III  M7   M7III_pickles_irtf.nm
III  M8   M8III_pickles_irtf.nm
III  M9   M9III.nm             
III  O8   O8III.nm             

IV   F0   F0IV_pickles_irtf.nm 
IV   F8   F8IV_calspec.nm      
IV   G2   G2IV_pickles_irtf.nm 
IV   K0   K0IV_pickles_irtf.nm 

#V    A0   A0V.nm               
V    A0   A0V_calspec.nm       
V    A1   A1V_calspec.nm       
V    A2   A2V_calspec.nm       
V    A3   A3V_calspec.nm       
V    A4   A4V_calspec.nm       
#V    A5   A5V.nm               
V    A5   A5V_calspec.nm       
V    A6   A6V_calspec.nm       
V    B0   B0V.nm               
V    B0.5 B0.5V_calspec.nm     
V    B3   B3V_calspec.nm       
V    B6   B5-7V.nm             
#V    F0   F0V.nm               
V    F0   F0V_pickles_irtf.nm  
V    F2   F2V_pickles_irtf.nm  
V    F4   F4V_calspec.nm       
#V    F5   F5V-w.nm             
#V    F5   F5V.nm               
V    F5   F5V_pickles_irtf.nm  
V    F6   F6V-r.nm             
V    F7   F7V_calspec.nm       
V    F8   F8V_pickles_irtf.nm  
V    G0   G0V_calspec.nm       
#V    G0   G0V.nm               
#V    G0   G0V-r.nm             
#V    G0   G0V-w.nm             
V    G1   G1V_calspec.nm       
#V    G2   G2V.nm               
V    G2   G2V_calspec.nm       
V    G3   G3V_calspec.nm       
#V    G5   G5V.nm               
V    G5   G5V_calspec.nm       
#V    G5   G5V-r.nm             
#V    G5   G5V-w.nm             
V    G8   G8V_pickles_irtf.nm  
V    K0   K0V_pickles_irtf.nm  
#V    K0   K0V-r.nm             
#V    K0   K0V.nm               
V    K2   K2V_pickles_irtf.nm  
V    K3   K3V_pickles_irtf.nm  
V    K4   K4V.nm               
V    K5   K5V_pickles_irtf.nm  
V    M0   M0V_pickles_irtf.nm  
#V    M0   M0V.nm               
V    M1   M1V_pickles_irtf.nm  
V    M2   M2V_pickles_irtf.nm  
#V    M3   M3V.nm               
V    M3   M3V_pickles_irtf.nm  
V    M4   M4V_pickles_irtf.nm  
V    M5   M5V_pickles_irtf.nm  
V    M6   M6V.nm               
V    O5   O5V.nm               
V    O9   O9V_calspec.nm       
V    O9.5 O9.5V_calspec.nm     

sd   B    sdB_calspec.nm       
sd   F8   sdF8_calspec.nm      
sd   O    sdO_calspec.nm       

